canonical_instrument_id,symbol,event_date,action_type,raw_factor,cumulative_backward_factor,volume_factor,factor_confidence,source_event_id,methodology_version,review_status
NSE:FIEMIND:EQ,FIEMIND,2024-02-28,BONUS,0.5,0.5,2,VERIFIED_OFFICIAL,nse-ca-be6d64afb085dabf,PRICE_ADJUSTED_STRUCTURAL_V1,PARSED
NSE:FILATEX:EQ,FILATEX,2022-12-27,STOCK_SPLIT,0.5,0.5,2,VERIFIED_OFFICIAL,nse-ca-1e5e57ca3bac07fa,PRICE_ADJUSTED_STRUCTURAL_V1,PARSED
NSE:FILATFASH:EQ,FILATFASH,2024-08-09,STOCK_SPLIT,0.2,0.2,5,VERIFIED_OFFICIAL,nse-ca-91f28192ef845bd6,PRICE_ADJUSTED_STRUCTURAL_V1,PARSED
NSE:FISCHER:EQ,FISCHER,2025-09-12,STOCK_SPLIT,0.1,0.1,10,VERIFIED_OFFICIAL,nse-ca-77bc9b4d0c9055ad,PRICE_ADJUSTED_STRUCTURAL_V1,PARSED
NSE:FOCUS:EQ,FOCUS,2023-10-06,STOCK_SPLIT,0.2,0.2,5,VERIFIED_OFFICIAL,nse-ca-ebd5cd00e2e53e94,PRICE_ADJUSTED_STRUCTURAL_V1,PARSED
NSE:GAEL:EQ,GAEL,2024-03-15,BONUS,0.5,0.5,2,VERIFIED_OFFICIAL,nse-ca-f9a83fa0e55d9b8e,PRICE_ADJUSTED_STRUCTURAL_V1,PARSED
NSE:GAIL:EQ,GAIL,2022-09-06,BONUS,0.6666666666666666666666666667,0.6666666666666666666666666667,1.5,VERIFIED_OFFICIAL,nse-ca-9960a0de3e69e729,PRICE_ADJUSTED_STRUCTURAL_V1,PARSED
NSE:GANGAFORGE:EQ,GANGAFORGE,2021-09-13,STOCK_SPLIT,0.1,0.1,10,VERIFIED_OFFICIAL,nse-ca-754d018386067c76,PRICE_ADJUSTED_STRUCTURAL_V1,PARSED
NSE:GARFIBRES:EQ,GARFIBRES,2025-01-03,BONUS,0.2,0.2,5,VERIFIED_OFFICIAL,nse-ca-35ef20959408da16,PRICE_ADJUSTED_STRUCTURAL_V1,PARSED
NSE:GEEKAYWIRE:EQ,GEEKAYWIRE,2023-10-23,STOCK_SPLIT,0.2,0.1,5,VERIFIED_OFFICIAL,nse-ca-607355d996f610ee,PRICE_ADJUSTED_STRUCTURAL_V1,PARSED
NSE:GEEKAYWIRE:EQ,GEEKAYWIRE,2025-10-30,STOCK_SPLIT,0.5,0.5,2,VERIFIED_OFFICIAL,nse-ca-6732e0cc214be4e2,PRICE_ADJUSTED_STRUCTURAL_V1,PARSED
NSE:GENSOL:EQ,GENSOL,2023-10-17,BONUS,0.3333333333333333333333333333,0.3333333333333333333333333333,3,VERIFIED_OFFICIAL,nse-ca-fc37082325cdedc8,PRICE_ADJUSTED_STRUCTURAL_V1,PARSED
NSE:GLOBAL:EQ,GLOBAL,2022-10-19,STOCK_SPLIT,0.5,0.2,2,VERIFIED_OFFICIAL,nse-ca-d76dd500f1bcdb9a,PRICE_ADJUSTED_STRUCTURAL_V1,PARSED
NSE:GLOBAL:EQ,GLOBAL,2024-12-10,STOCK_SPLIT,0.4,0.4,2.5,VERIFIED_OFFICIAL,nse-ca-fc8db076d923f21b,PRICE_ADJUSTED_STRUCTURAL_V1,PARSED
